"id","title","venue","year","doi_or_url","category","measured_object","granularity","evidence_type","optimization_knob","primary_metric","reported_result_or_scope","limitation","relation_to_ours"
"L12","MegaScale-Infer: Efficient Mixture-of-Experts Model Serving with Disaggregated Expert Parallelism","SIGCOMM","2025","https://doi.org/10.1145/3718958.3750506","moe-serving-network","attention/FFN stages and EP traffic","request/stage/GPU","production-scale system evaluation","disaggregated attention and FFN placement","per-GPU throughput","Reports up to 1.9x per-GPU throughput","System design does not provide our proposed packet-to-SLO causal schema","Primary MoE serving baseline"
"L13","ARK: Avoiding Routing Collisions for KV Cache Transfer in Disaggregated LLM Inference","SIGCOMM","2026","https://doi.org/10.1145/3789240.3828750","serving-kv-network","KV transfer flows","flow/path","system evaluation","collision-aware routing","transfer latency and throughput","Targets route collisions in disaggregated KV transfer","KV traffic differs from dense EP All-to-All","Routing-collision baseline and scope boundary"
"L14","KVServe: Service-Aware KV Cache Compression for Communication-Efficient Disaggregated LLM Serving","SIGCOMM","2026","https://doi.org/10.1145/3789240.3829139","serving-kv-network","KV cache transfer","request/cache block","system evaluation","service-aware KV compression","communication and service performance","Jointly considers serving state and compression","Does not model expert routing matrices","Precedent for service-aware network control"
"L15","DualPath: Accelerating Agentic LLM Inference by Harvesting Disaggregated KV-Cache Storage I/O","SIGCOMM","2026","https://doi.org/10.1145/3789240.3829159","serving-kv-storage","agentic KV storage I/O","request/I-O path","system evaluation","dual-path KV I/O","agentic inference latency","Optimizes KV storage I/O for agentic workloads","Not collective communication","Separate storage tail from EP network tail"
"L16","Turbo: Efficiently Serving Long-Context Large Language Models with In-Network Aggregation","SIGCOMM","2026","https://doi.org/10.1145/3789240.3829140","in-network-compute","attention aggregation traffic","packet/aggregation group","prototype and evaluation","in-network aggregation","end-to-end latency","Reports up to 37% end-to-end latency reduction","Requires switch functionality and targets attention","In-network baseline; not our default deployment assumption"
"L17","Efficient Remote KV Cache Reuse with GPU-native Video Codec","SIGCOMM","2026","https://doi.org/10.1145/3789240.3829120","serving-kv-network","remote KV cache","request/cache object","prototype evaluation","GPU-native codec reuse","transfer size and latency","Reuses GPU codec machinery for KV transfer","Not MoE collective traffic","Compression prior-art boundary"
"L18","GPU-Centric Stateless LLM Serving With GIGANETS","SIGCOMM","2026","https://doi.org/10.1145/3789240.3828738","serving-network","GPU-centric request state and network","request/GPU/flow","system evaluation","stateless GPU-centric fabric","bandwidth/QPS/P95 TPOT","Reports 52.4 GB/s, 33% higher QPS, and 1.75x lower P95 TPOT in evaluated settings","Architecture-specific; causal telemetry not the central contribution","Shows network changes must be evaluated at P95 TPOT"
"L19","SimAI: Unifying Architecture Design and Performance Tuning for Large-Scale Large Language Model Training with Scalability and Precision","NSDI","2025","https://www.usenix.org/conference/nsdi25/presentation/wang-xizheng","simulation-modeling","workload compute and collective communication","operator/flow/packet backend","trace/profile-driven simulation","architecture and parallelism what-if","simulation error and speed","Reports average 98.1% alignment with real results","Training-focused; inference EP skew and runtime flow truth remain gaps","Simulation baseline and workload format source"
"L20","LLMServingSim: A HW/SW Co-Simulation Infrastructure for LLM Inference Serving at Scale","IISWC","2024","https://doi.org/10.1109/iiswc63097.2024.00012","simulation-modeling","LLM requests, layers, and collective bytes","request/layer/collective","profile-driven co-simulation","hardware/software serving configuration","TTFT/TPOT and throughput","Connects serving semantics to ASTRA-sim","Source trace lacks runtime peer/channel packet truth","Our serving-semantic frontend"
"L21","Vidur: A Large-Scale Simulation Framework for LLM Inference","MLSys","2024","https://arxiv.org/abs/2405.05465","simulation-modeling","request scheduling and GPU execution","request/iteration/operator model","profile-driven simulation","batching and parallelism","latency and throughput error","Large-scale serving simulation with profiled predictors","Upstream lacks native MoE EP network detail","Request-level simulator baseline"
"L22","Frontier: Simulating the Next Generation of LLM Inference Systems","PACMI at SOSP","2025","https://doi.org/10.1145/3766882.3767173","simulation-modeling","MoE route, compute, and communication","request/layer/expert","calibrated discrete-event simulation","EP/PD/AF configuration","latency and throughput error","Models token-to-expert routing and expert stragglers","Communication remains calibrated abstraction rather than packet provenance","Fast parameter-sweep comparison"
"L23","Supercharging Packet-level Network Simulation of Large Model Training via Memoization and Fast-Forwarding","NSDI","2026","https://www.usenix.org/conference/nsdi26/presentation/long","simulation-modeling","packet-level ML communication","flow/packet","packet simulation plus acceleration","memoization and fast-forwarding","speedup and error","Reports up to 744x over ns-3, 510x on MoE, below 1% error in evaluated cases","Training focus; still needs workload-to-flow semantics","Packet-simulation scalability baseline"
"L24","Enabling AI Network Cross-Layer Design and Operations with Arcadia: A Simulation Platform at Scale","NSDI","2026","https://www.usenix.org/conference/nsdi26/presentation/wang-zhaodong","simulation-modeling","AI workload and fabric","cross-layer event","large-scale simulation and operational validation","cross-layer design/operations","accuracy and scalability","Meta cross-layer AI network simulation platform","Production-specific components and training emphasis may limit reproduction","Closest cross-layer platform baseline"
"L25","Phantora: Maximizing Code Reuse in Simulation-based Machine Learning System Performance Estimation","NSDI","2026","https://www.usenix.org/conference/nsdi26/presentation/qin","simulation-modeling","unmodified ML frameworks","framework call/GPU/communication","hybrid simulation","interception and framework reuse","accuracy and setup cost","Runs unmodified frameworks in a simulated cluster environment","Evaluation is training-oriented and not a tail-causality system","Framework-reuse baseline"
"L26","ServeGen: Workload Characterization and Generation of Large Language Model Serving in Production","NSDI","2026","https://www.usenix.org/conference/nsdi26/presentation/xiang-servegen","workload-measurement","production language/multimodal/reasoning requests","client/request/time series","production trace characterization","per-client workload generation","benchmark fidelity","Generates realistic serving workloads from worldwide production characterization","No collective or NIC truth","Realistic request input source"
"L27","DistriAI: A Low-Cost Distributed Emulation Platform for 10k-GPU AI Datacenter Networks","INFOCOM","2026","https://doi.org/10.1109/infocom59046.2026.11571384","simulation-modeling","10k-GPU AI datacenter network","host/flow/packet-emulation","distributed emulation","low-cost distributed execution","scale and fidelity","Targets 10k-GPU AI network emulation","Serving semantics and MoE tail attribution are not the stated focus","INFOCOM-scale platform baseline"
"L28","Alibaba HPN: A Data Center Network for Large Language Model Training","SIGCOMM","2024","https://doi.org/10.1145/3651890.3672265","ai-fabric","training fabric","flow/link/fabric","production network evaluation","fabric topology and routing","throughput/reliability","Production AI datacenter network design","Training workloads; not request SLO causality","Fabric/topology baseline"
"L29","RDMA over Ethernet for Distributed Training at Meta Scale","SIGCOMM","2024","https://doi.org/10.1145/3651890.3672233","ai-fabric","RoCE training traffic","packet/port/fabric","production measurement","RoCE deployment and operations","performance and reliability","Reports operational experience at Meta scale","Training traffic differs from decode EP bursts","Real-fabric calibration reference"
"L30","Rethinking Machine Learning Collective Communication as a Multi-Commodity Flow Problem","SIGCOMM","2024","https://doi.org/10.1145/3651890.3672249","collective-optimization","collective flows","flow/path","algorithm and evaluation","multi-commodity-flow planning","collective completion time","Treats collective scheduling as MCF","Does not preserve request or expert-routing semantics","Collective optimization baseline"
"L31","MCCS: A Service-based Approach to Collective Communication for Multi-Tenant Cloud","SIGCOMM","2024","https://doi.org/10.1145/3651890.3672252","collective-optimization","multi-tenant collective service","job/collective/flow","system evaluation","collective as a service","JCT and isolation","Targets shared-cloud collectives","Not inference-specific and does not solve semantic attribution","Multi-tenant baseline"
"L32","Crux: GPU-Efficient Communication Scheduling for Deep Learning Training","SIGCOMM","2024","https://doi.org/10.1145/3651890.3672239","collective-optimization","GPU communication work","kernel/collective","system evaluation","GPU-efficient scheduling","GPU overhead and training performance","Optimizes communication scheduling overhead","Training-centric; no MoE serving SLO mapping","Endpoint-overhead baseline"
"L33","R-Pingmesh: A Service-Aware RoCE Network Monitoring and Diagnostic System","SIGCOMM","2024","https://doi.org/10.1145/3651890.3672264","telemetry-diagnosis","RoCE paths and services","probe/path/service","production monitoring","service-aware active probing","coverage and diagnosis time","Provides service-aware RoCE monitoring","Probes are not collective-correlated runtime truth","Telemetry baseline"
"L34","m3: Accurate Flow-Level Performance Estimation using Machine Learning","SIGCOMM","2024","https://doi.org/10.1145/3651890.3672243","simulation-modeling","network flows","flow","ML performance estimation","learned FCT estimator","flow completion estimation error","Estimates flow-level performance","Can lose rare queue/packet causality and needs domain data","Fast middle-fidelity baseline"
"L35","MixNet: A Runtime Reconfigurable Optical-Electrical Fabric for Distributed Mixture-of-Experts Training","SIGCOMM","2025","https://doi.org/10.1145/3718958.3750465","moe-fabric","MoE communication matrix","flow/fabric configuration","prototype and simulation/evaluation","runtime optical-electrical reconfiguration","collective/JCT","Targets dynamic MoE traffic matrices","Training and specialized hardware focus","Traffic-matrix sensitivity prior art"
"L36","Alibaba Stellar: A New Generation RDMA Network for Cloud AI","SIGCOMM","2025","https://doi.org/10.1145/3718958.3750539","ai-fabric","cloud AI RDMA traffic","packet/port/fabric","production evaluation","RDMA fabric architecture","performance/reliability","Production cloud AI RDMA network","Does not expose request-to-collective mapping","Fabric baseline and calibration source"
"L37","SGLB: Scalable and Robust Global Load Balancing in Commodity AI Clusters","SIGCOMM","2025","https://doi.org/10.1145/3718958.3750527","collective-optimization","AI collective traffic","collective/path","system evaluation","global load balancing","All-to-All completion time","Reports up to 60% All-to-All speedup","Optimizes network schedule, not serving-tail attribution","A2A scheduling baseline"
"L38","ResCCL: Resource-Efficient Scheduling for Collective Communication","SIGCOMM","2025","https://doi.org/10.1145/3718958.3750514","collective-optimization","collective resources","collective/channel/resource","system evaluation","resource-efficient scheduling","collective time and resource cost","Schedules collective communication resources","No request-level semantic feedback","Channel/resource scheduling baseline"
"L39","SyCCL: Exploiting Symmetry for Efficient Collective Communication Scheduling","SIGCOMM","2025","https://doi.org/10.1145/3718958.3750499","collective-optimization","collective schedules","collective/flow","algorithm and evaluation","symmetry-aware synthesis","schedule quality and solve time","Uses symmetry to accelerate collective scheduling","Primarily regular collectives; skewed All-to-Allv remains distinct","Schedule synthesis baseline"
"L40","Hawkeye: Diagnosing RDMA Network Performance Anomalies with PFC Provenance","SIGCOMM","2025","https://doi.org/10.1145/3718958.3750490","telemetry-diagnosis","PFC and RDMA anomalies","packet/port/path","prototype and evaluation","PFC provenance","diagnosis accuracy and overhead","Reports above 90% accuracy and 1-4 orders lower overhead in evaluated settings","Network diagnosis lacks GPU/collective/request semantics","Network-side causal diagnosis baseline"
"L41","UBEP: Re-architecting Expert Parallelism Communication Library for Production Superpods","SIGCOMM","2026","https://doi.org/10.1145/3789240.3829183","moe-collective","expert-parallel All-to-All","collective/flow/channel","production system evaluation","EP communication library redesign","A2A and TPOT","Reports 52.4% lower A2A and 11.1% lower TPOT","Optimizes library rather than building multi-fidelity attribution","Closest EP library baseline; avoid duplicate claims"
"L42","Balancing and Beyond: Communication-Centric Optimizations in Expert Parallelism","SIGCOMM","2026","https://doi.org/10.1145/3789240.3829201","moe-collective","expert routing and EP communication","token/expert/flow","production deployment","EPIC communication-centric optimization","communication and token latency","Reports deployment at O(10K) GPUs, 40% lower communication, 21% lower token latency","Optimization suite; causal profiling and uncertainty are not the same objective","Closest production EP baseline"
"L43","Odin: Rethinking Congestion Control under All-to-All Traffic","SIGCOMM","2026","https://doi.org/10.1145/3789240.3829164","transport-control","All-to-All traffic","flow/packet/queue","prototype and evaluation","All-to-All-aware congestion control","FCT and tail FCT","Designs congestion control specifically for All-to-All","Transport-only view may not know expert/request criticality","CC baseline for risk-aware control"
"L44","PReCCL: Performant and Resilient Collective Communication via Integrated Inband Telemetry and Workload Reallocation","SIGCOMM","2026","https://doi.org/10.1145/3789240.3829133","collective-telemetry","collective health and workload","packet/path/collective","prototype and evaluation","in-band telemetry plus reallocation","performance and resilience","Integrates telemetry with collective workload reallocation","Does not by itself reconstruct serving semantics or simulator uncertainty","Closest telemetry-to-control baseline"
"L45","Theseus: Runtime-Adaptive GPU Collective Communication with Hot-Swappable Schedules","SIGCOMM","2026","https://doi.org/10.1145/3789240.3829134","collective-optimization","runtime collective behavior","collective/schedule","system evaluation","hot-swappable schedules","collective performance","Adapts collective schedules at runtime","Needs reliable state/risk signals; serving linkage is outside scope","Potential consumer of our diagnosis signal"
"L46","OptCCL: Scalable Synthesis of Optimal Collective Communication Algorithms","SIGCOMM","2026","https://doi.org/10.1145/3789240.3829207","collective-optimization","collective algorithm schedules","collective/flow","algorithm and evaluation","optimal schedule synthesis","optimality and synthesis time","Scales collective algorithm synthesis","Objective usually collective time, not request-tail risk under skew","Optimization baseline"
"L47","Nüwa: A Generative Control Plane for AI Network Simulation","SIGCOMM","2026","https://doi.org/10.1145/3789240.3829106","simulation-modeling","AI simulation control plane","job/control event","system evaluation","generative control plane","initialization time and scale","Reports 65,536-GPU initialization reduced from hours to 25 seconds and scale to 221,184 GPUs","Control-plane scalability does not solve data-plane tail fidelity","Large-scale simulator orchestration baseline"
"L48","RDMATracer: A scalable eBPF-based framework for tracing RDMA syscalls","SIGCOMM","2026","https://doi.org/10.1145/3789240.3828742","telemetry-diagnosis","RDMA syscalls","host syscall/process","system evaluation","eBPF tracing","coverage and overhead","Provides scalable host-side RDMA tracing","Syscalls may not expose GPU-initiated channel/packet semantics","Host telemetry source in our schema"
"L49","Anytest: Localizing the Root Cause of Hardware Transport Performance Anomalies","SIGCOMM","2026","https://doi.org/10.1145/3789240.3829125","telemetry-diagnosis","hardware transport anomalies","endpoint/path/component","system evaluation","targeted active tests","localization accuracy and time","Localizes hardware transport performance anomalies","Not tied to LLM request/collective context","Hardware fault diagnosis baseline"
"L50","Taking the Pulse: Diagnosing GPU Collectives from Endpoint Timestamps Alone","SIGCOMM Poster","2026","https://doi.org/10.1145/3789240.3830290","telemetry-diagnosis","GPU collective endpoint timestamps","endpoint/collective","poster/prototype","endpoint-only inference","diagnosis accuracy","Explores collective diagnosis from endpoint timestamps","Poster scope; limited internal provenance","Directly adjacent idea; our novelty must add semantic and packet evidence"
"L51","INSERT: In-Network Stateful End-to-End RDMA Telemetry","INFOCOM","2024","https://doi.org/10.1109/infocom52122.2024.10621203","telemetry-diagnosis","RDMA connection/path state","packet/path","prototype and evaluation","stateful in-network telemetry","coverage and overhead","Tracks end-to-end RDMA state in network","No LLM or collective semantic correlation","Network telemetry building block"
"L52","Host-driven In-Network Aggregation on RDMA","INFOCOM","2024","https://doi.org/10.1109/infocom52122.2024.10621230","in-network-compute","RDMA aggregation traffic","message/packet/switch","prototype and evaluation","host-controlled in-network aggregation","aggregation performance","Combines host control with RDMA aggregation","Primarily regular aggregation rather than MoE All-to-Allv","In-network collective baseline"
"L53","Weir: Delay-based RNIC Cache Control Software Middleware for Scalable RDMA Networks","INFOCOM","2025","https://doi.org/10.1109/infocom55648.2025.11044610","transport-control","RNIC cache and RDMA connections","connection/RNIC","prototype and evaluation","delay-based RNIC cache control","scalability and latency","Controls RNIC cache pressure in software","Not inference-specific and no request semantics","Endpoint contention mechanism to separate from fabric queueing"
"L54","Lark: A Buffer-aware Building Block for Programmable Packet Scheduling in Datacenters","INFOCOM","2025","https://doi.org/10.1109/infocom55648.2025.11044448","transport-control","packet scheduler buffers","packet/queue/port","prototype and evaluation","buffer-aware programmable scheduling","FCT and buffer behavior","Provides a programmable packet-scheduling primitive","General DCN primitive, not an EP policy","Queue-control baseline"
"L55","Libra: Contention-Aware GPU Thread Allocation for Data Parallel Training in High Speed Networks","INFOCOM","2023","https://doi.org/10.1109/infocom53939.2023.10228922","endpoint-optimization","GPU threads and network contention","GPU-thread/communication","system evaluation","contention-aware thread allocation","training throughput","Coordinates GPU thread allocation with network contention","Training and endpoint focus; not MoE serving tail","Evidence that endpoint contention must be separated from network queueing"
